VOLE_ID,TRT,SEX,NULL_CHECK,SP_INDEX,NO_TRIAL2_OBJ1_TOT_DUR,NO_TRIAL2_OBJ2_TOT_DUR,NO_TRIAL2_TOT_DIST,NO_TRIAL3_OBJ1_TOT_DUR,NO_TRIAL3_OBJ2_TOT_DUR,NO_TRIAL3_TOT_DIST,NS_BOUTS_EMPTY,NS_BOUTS_STRANGER,NS_DUR_EMPTY,NS_DUR_STRANGER,NS_INDEX,NS_LAT_EMPTY,NS_LAT_STRANGER,NS_PCT_WSTRANGER,NS_TOT_DIST,OF_BOUTS_CENTER,OF_DUR_CENTER,OF_TOT_DIST,PP_INDEX,PP_PARTNER_LAT,PP_PARTNER_TOT_BOUTS,PP_PARTNER_TOT_DUR,PP_STRANGER_LAT,PP_STRANGER_TOT_BOUTS,PP_STRANGER_TOT_DUR,PP_TOT_DIST,SP_BOUTS_CAGEMATE,SP_BOUTS_STRANGER,SP_DUR_CAGEMATE,SP_DUR_STRANGER,SP_LAT_CAGEMATE,SP_LAT_STRANGER,SP_TOT_DIST,OF_droppings,OF_Dur_Walls,OF_Dur_Corner,OF_Lat,OF_Cent_Dur_5min,NS_droppings,NS_Dur_NoCup,SP_droppings,SP_Dur_Neutral,PP_droppings,PP_Partner_Dur_Fin,PP_Duration_Neutral,NS_BOUTS_STRANGER,SP_BOUTS_CAGEMATE,SP_BOUTS_STRANGER,PP_BOUTS_PARTNER,PP_BOUTS_STRANGER
101,LOW,M,Complete Data,1,28.66,9.41,2622.43,0,8.98,1291.03,9,11,23.32,50.22,0.3658,246.95,19.69,0.6829,1867.94,16,88.36,26208.99,-0.6798,195.06,4,60.96,14.68,8,319.85,3639.56,0,10,0,38.17,600,7.97,493.87,3,1221.92,1263.26,164.5,49.22,0,526.46,0,13.28,7,7.84,33.53,11,0,10,4,8
112,MID,F,Incomplete Data,,,,,10.24,55.16,7808.26,30,2,57.52,3.04,-0.8996,14.51,167.1,0.0502,10298.4,28,68.44,73547.9,-0.108,23.62,14,149.38,6.64,14,185.55,11525.05,0,0,0,0,600,600,8968.66,9,982.77,703.26,153.39,0,2,539.44,2,471.57,6,7.41,73.11,2,0,0,14,14
40,MID,M,Complete Data,-1,37.27,76.14,12635.26,36.64,34.8,8731.46,28,7,105.14,26.43,-0.5982,244.78,35.77,0.2009,3779.07,26,39.84,70622.74,0.393,12.35,19,271.67,196.16,10,118.39,11828.37,21,0,70.04,0,32.9,600,5961.26,5,1597.43,1208.31,70.77,16.62,4,468.43,3,190.32,0,23.66,67.03,7,21,0,19,10
42,MID,M,Complete Data,-1,68.03,61.26,7405.33,32.83,42.91,7486.72,36,1,101.33,2.67,-0.9487,12.35,70.97,0.0257,4488.32,17,52.95,56482.78,-0.8413,224.09,5,22.56,231.7,13,261.76,9208.23,15,0,29.56,0,11.44,600,7285.12,0,2049.72,1202.77,108.07,6.31,0,496,8,182.88,3,2.94,249.02,1,15,0,5,13
141,HIGH,M,Complete Data,-1,58.66,78.51,6428.18,15.85,43.48,7017.18,19,21,39.17,69.87,0.2815,73.47,10.28,0.6408,6506.43,34,83.28,62181.88,0.3646,25.13,12,237.77,11.18,16,110.71,9744.9,20,0,85.62,0,21.76,600,3440,0,1681.81,1232.97,28.33,7.14,1,490.96,0,25.39,0,20.09,77.04,21,20,0,12,16
207,LOW,F,Complete Data,-1,16.32,50.88,4281.82,22.06,37.54,4840.81,24,0,275.94,0,-1,12.55,600,0,8801.52,5,3.57,40334.02,-0.1443,13.11,5,199.47,2.44,15,266.73,8880.13,20,0,272.77,0,7.17,600,6595.85,0,2543.38,1520.09,541.41,0.67,0,324.06,0,132.83,21,0,24.96,0,20,0,5,15
19,CTRL,M,Complete Data,-1,43.84,57.99,5940.15,48.11,43.01,8982.16,28,5,158.09,19.12,-0.7842,15.02,68.67,0.1079,5184.77,7,40.61,43037.31,0.7389,9.41,6,446.11,1.2,6,66.97,4064.36,10,0,39.57,0,114.61,600,828.15,0,1752.09,1290.99,325.83,2.64,0,422.79,0,147.61,0,59.99,30.1,5,10,0,6,6
200,HIGH,F,Complete Data,-0.9913,79.88,29.2,3480.07,133.9,26.16,2348.05,7,1,462.63,5.47,-0.9766,25.26,11.71,0.0117,3849.31,4,6.21,47353.98,1,565.57,1,31.23,600,0,0,2489.43,9,1,429.6,1.87,17.05,576.81,3362.77,20,1694.6,1522.39,456.66,3.97,0,131.9,12,36.2,0,31.23,504.7,1,9,1,1,0
125,HIGH,M,Complete Data,-0.9875,26.86,148.82,3960.84,78.11,20.02,4101.03,22,9,89.06,17.18,-0.6766,98.43,3.6,0.1617,5125.09,7,13.35,52727.77,0.9182,7.54,15,342.44,61.43,2,14.61,7039.26,37,1,191.42,1.2,9.78,2.6,3666.52,5,2078.22,1318.95,26.36,10.58,12,493.76,9,72.14,0,55.06,138.84,9,37,1,15,2
129,HIGH,F,Complete Data,-0.9616,60.19,44.94,8511.77,35.4,67.7,8709.92,29,10,119.92,29.16,-0.6088,49.12,70.44,0.1956,8455.89,2,2.5,57379.91,0.5901,12.58,26,271.34,0,15,69.94,17574.53,16,2,228.23,4.47,26.96,258.99,5366.48,0,1700.4,1203.43,677.28,1.63,14,450.92,0,99.93,0,36.74,130.96,10,16,2,26,15
